teinte_id;teinte_label;Teinte_hexa
385;233;#ce007c
386;234;#aa0066
387;235;#8e0554
388;236;#f9afd3
389;237;#f484c4
390;238;#ed4faf
391;538;#d6d3d6
392;539;#003049
393;540;#00335b
394;543;#003f77
395;544;#6693bc
396;545;#93b7d1
397;544;#b7ccdb
398;545;#c4d3dd
399;239;#e0219e
400;240;#c40f89
401;241;#ad0075
402;242;#7c1c51
403;2365;#f7c4d8
404;2375;#ea6bbf
405;2385;#db28a5
406;2395;#c4008c
407;5395;#02283a
408;5405;#3f6075
409;5435;#607c8c
410;5445;#8499a5
411;5455;#afbcbf
412;5445;#c4cccc
413;5455;#d6d8d3
414;546;#0c3844
415;2405;#a8007a
416;2415;#9b0070
417;2425;#87005b
418;243;#f2bad8
419;244;#eda0d3
420;245;#e87fc9
421;246;#cc00a0
422;247;#b7008e
423;547;#003f54
424;548;#004459
425;549;#5e99aa
426;550;#87afbf
427;551;#a3c1c9
428;552;#c4d6d6
429;5463;#00353a
430;5473;#26686d
431;248;#a3057f
432;249;#7f2860
433;250;#edc4dd
434;251;#e29ed6
435;252;#d36bc6
436;Purple;#bf30b5
437;253;#af23a5
438;254;#a02d96
439;5483;#609191
440;5493;#8cafad
441;5503;#aac4bf
442;5513;#ced8d1
443;5523;#d6ddd6
444;5467;#193833
445;5477;#3a564f
446;5487;#667c72
447;255;#772d6b
448;256;#e5c4d6
449;257;#d3a5c9
450;258;#9b4f96
451;259;#72166b
452;260;#681e5b
453;261;#5e2154
454;262;#542344
455;5497;#91a399
456;5507;#afbab2
457;5517;#c9cec4
458;5527;#ced1c6
459;553;#234435
460;554;#195e47
461;555;#076d54
462;556;#7aa891
463;2562;#d8a8d8
464;2572;#c687d1
465;2582;#aa47ba
466;2592;#930fa5
467;2602;#820c8e
468;2612;#701e72
469;2622;#602d59
470;2563;#d1a0cc
471;557;#a3c1ad
472;558;#b7cebc
473;559;#c6d6c4
474;5535;#213d30
475;5545;#4f6d5e
476;5555;#779182
477;5565;#96aa99
478;5575;#afbfad
479;2573;#ba7cbc
480;2583;#9e4fa5
481;2593;#872b93
482;2603;#70147a
483;2613;#66116d
484;2623;#5b195e
485;2567;#bf93cc
486;2577;#aa72bf
487;5585;#c4cebf
488;5595;#d8dbcc
489;560;#2b4c3f
490;561;#266659
491;562;#1e7a6d
492;563;#7fbcaa
493;564;#a0cebc
494;565;#bcdbcc
495;2587;#8e47ad
496;2597;#66008c
497;2607;#5b027a
498;2617;#560c70
499;2627;#4c145e
500;263;#e0cee0
501;264;#c6aadb
502;265;#9663c4
503;566;#d1e2d3
504;5605;#233a2d
505;5615;#546856
506;5625;#728470
507;5635;#9eaa99
508;5645;#bcc1b2
509;5655;#c6ccba
510;568;#d6d6c6
511;266;#6d28aa
512;267;#59118e
513;268;#4f2170
514;269;#442359
515;2635;#c9add8
516;2645;#b591d1
517;2655;#9b6dc6
518;2665;#894fbf
519;569;#05705e
520;570;#008772
521;571;#7fc6b2
522;572;#aadbc6
523;573;#bce2ce
524;574;#cce5d6
525;575;#495928
526;576;#547730
527;Violet;#6607a5
528;2685;#56008c
529;2695;#44235e
530;270;#baafd3
531;271;#9e91c6
532;272;#8977ba
533;273;#38197a
534;274;#2b1166
535;577;#608e3a
536;578;#b5cc8e
537;579;#c6d6a0
538;580;#c9d6a3
539;5743;#d8ddb5
540;5753;#3f4926
541;5763;#5e663a
542;5773;#777c4f
543;275;#260f54
544;276;#2b2147
545;2705;#ad9ed3
546;2715;#937acc
547;2725;#7251bc
548;2735;#4f0093
549;2745;#3f0077
550;2755;#35006d
551;5783;#9b9e72
552;5793;#b5b58e
553;5803;#c6c6a5
554;5747;#d8d6b7
555;5757;#424716
556;5767;#6b702b
557;5777;#8c914f
558;5787;#aaad75
559;2765;#2b0c56
560;2706;#d1cedd
561;2716;#a5a0d6
562;2726;#6656bc
563;2736;#4930ad
564;2746;#3f2893
565;2756;#332875
566;2766;#2b265b
567;5797;#c6c699
568;5807;#d3d1aa
569;581;#e0ddbc
570;582;#605e11
571;583;#878905
572;584;#aaba0a
573;585;#dbe06b
574;586;#e2e584
575;2707;#bfd1e5
576;2717;#a5bae0
577;2727;#5e68c4
578;Blue 072;#380096
579;2747;#1c146b
580;2757;#141654
581;2767;#14213d
582;2708;#afbcdb
583;587;#e8e89b
584;5815;#494411
585;5825;#75702b
586;5835;#9e9959
587;5845;#b2aa70
588;5855;#ccc693
589;5865;#d6cea3
590;5875;#e0dbb5
591;2718;#5b77cc
592;2728;#3044b5
593;2738;#2d008e
594;2748;#1e1c77
595;2758;#192168
596;2768;#112151
597;277;#b5d1e8
598;278;#99badd
599;600;#f4edaf
600;601;#f2ed9e
601;602;#f2ea87
602;603;#ede85b
603;604;#e8dd21
604;605;#ddce11
605;606;#d3bf11
606;607;#f2eabc
607;279;#6689cc
608;Reflex Blue;#0c1c8c
609;280;#002b7f
610;281;#002868
611;282;#002654
612;283;#9bc4e2
613;284;#75aadb
614;285;#3a75c4
615;608;#efe8ad
616;609;#eae596
617;610;#e2db72
618;611;#d6ce49
619;612;#c4ba00
620;613;#afa00c
621;614;#eae2b7
622;615;#e2dbaa
623;286;#0038a8
624;287;#003893
625;288;#00337f
626;289;#002649
627;290;#c4d8e2
628;291;#a8cee2
629;292;#75b2dd
630;293;#0051ba
631;616;#ddd69b
632;617;#ccc47c
633;618;#b5aa59
634;619;#968c28
635;620;#847711
636;621;#d8ddce
637;622;#c1d1bf
638;623;#a5bfaa
639;294;#003f87
640;295;#00386b
641;296;#002d47
642;2905;#93c6e0
643;2915;#60afdd
644;2925;#008ed6
645;2935;#005bbf
646;2945;#0054a0
647;624;#7fa08c
648;625;#5b8772
649;626;#21543f
650;627;#0c3026
651;628;#cce2dd
652;629;#b2d8d8
653;630;#8cccd3
654;631;#54b7c6
655;2955;#003d6b
656;2965;#00334c
657;297;#82c6e2
658;298;#51b5e0
659;299;#00a3dd
660;300;#0072c6
661;301;#005b99
662;302;#004f6d
663;632;#00a0ba
664;633;#007f99
665;634;#00667f
666;635;#bae0e0
667;636;#99d6dd
668;637;#6bc9db
669;638;#00b5d6
670;639;#00a0c4
671;303;#003f54
672;2975;#bae0e2
673;2985;#51bfe2
674;2995;#00a5db
675;3005;#0084c9
676;3015;#00709e
677;3025;#00546b
678;3035;#00546b
679;640;#008cb2
680;641;#007aa5
681;642;#d1d8d8
682;643;#c6d1d6
683;644;#9bafc4
684;645;#7796b2
685;646;#5e82a3
686;647;#26547c
687;304;#a5dde2
688;305;#70cee2
689;306;#00bce2
690;Process Blue;#0091c9
691;307;#007aa5
692;308;#00607c
693;309;#003f49
694;310;#72d1dd
695;648;#00305e
696;649;#d6d6d8
697;650;#bfc6d1
698;651;#9baabf
699;652;#6d87a8
700;653;#335687
701;654;#0f2b5b
702;655;#0c1c47
703;311;#28c4d8
704;312;#00adc6
705;313;#0099b5
706;314;#00829b
707;315;#006b77
708;316;#00494f
709;3105;#7fd6db
710;3115;#2dc6d6
711;656;#d6dbe0
712;657;#c1c9dd
713;658;#a5afd6
714;659;#7f8cbf
715;660;#5960a8
716;661;#2d338e
717;662;#0c1975
718;663;#e2d3d6
719;3125;#00b7c6
720;3135;#009baa
721;3145;#00848e
722;3155;#006d75
723;3165;#00565b
724;317;#c9e8dd
725;318;#93dddb
726;319;#4cced1
727;664;#d8ccd1
728;665;#c6b5c4
729;666;#a893ad
730;667;#7f6689
731;668;#664975
732;669;#472b59
733;670;#f2d6d8
734;671;#efc6d3
735;320;#009ea0
736;321;#008789
737;322;#007272
738;323;#006663
739;324;#aaddd6
740;325;#56c9c1
741;326;#00b2aa
742;327;#008c82
743;672;#eaaac4
744;673;#e08cb2
745;674;#d36b9e
746;675;#bc3877
747;676;#a00054
748;677;#edd6d6
749;678;#eaccce
750;679;#e5bfc6
751;328;#007770
752;329;#006d66
753;330;#005951
754;3242;#87ddd1
755;3252;#56d6c9
756;3262;#00c1b5
757;3272;#00aa9e
758;3282;#008c82
759;680;#d39eaf
760;681;#b7728e
761;682;#a05175
762;683;#7f284f
763;684;#efccce
764;685;#eabfc4
765;686;#e0aaba
766;687;#c9899e
767;3292;#006056
768;3302;#00493f
769;3245;#8ce0d1
770;3255;#47d6c1
771;3265;#00c6b2
772;3275;#00b2a0
773;3285;#009987
774;3295;#008272
775;688;#b26684
776;689;#934266
777;690;#702342
778;691;#efd1c9
779;692;#e8bfba
780;693;#dba8a5
781;694;#c98c8c
782;695;#b26b70
783;3305;#004f42
784;3248;#7ad3c1
785;3258;#35c4af
786;3268;#00af99
787;3278;#009b84
788;3288;#008270
789;3298;#006b5b
790;3308;#004438
791;696;#8e4749
792;697;#7f383a
793;698;#f7d1cc
794;699;#f7bfbf
795;700;#f2a5aa
796;701;#e8878e
797;702;#d6606d
798;703;#b73844
799;331;#baead6
800;332;#a0e5ce
801;333;#5eddc1
802;Green ;#00af93
803;334;#00997c
804;335;#007c66
805;336;#006854
806;337;#9bdbc1
807;704;#9e2828
808;705;#f9ddd6
809;706;#fcc9c6
810;707;#fcadaf
811;708;#f98e99
812;709;#f26877
813;710;#e04251
814;711;#d12d33
815;338;#7ad1b5
816;339;#00b28c
817;340;#009977
818;341;#007a5e
819;342;#006b54
820;343;#00563f
821;3375;#8ee2bc
822;3385;#54d8a8
823;712;#ffd3aa
824;713;#f9c9a3
825;714;#f9ba82
826;715;#fc9e49
827;716;#f28411
828;717;#d36d00
829;718;#bf5b00
830;719;#f4d1af
831;3395;#00c993
832;3405;#00b27a
833;3415;#007c59
834;3425;#006847
835;3435;#024930
836;344;#b5e2bf
837;345;#96d8af
838;346;#70ce9b
839;720;#efc49e
840;721;#e8b282
841;722;#d18e54
842;723;#ba7530
843;724;#8e4905
844;725;#753802
845;726;#edd3b5
846;727;#e2bf9b
847;347;#009e60
848;348;#008751
849;349;#006b3f
850;350;#234f33
851;351;#b5e8bf
852;352;#99e5b2
853;353;#84e2a8
854;354;#00b760
855;728;#d3a87c
856;729;#c18e60
857;730;#aa753f
858;731;#723f0a
859;732;#60330a
860;Yellow 2X;#fce216
861;116 2X;#f7b50c
862;130 2X;#e29100
863;355;#009e49
864;356;#007a3d
865;357;#215b33
866;358;#aadd96
867;359;#a0db8e
868;360;#60c659
869;361;#1eb53a
870;362;#339e35
871;165 2X;#ea4f00
872;Warm Red 2X;#e03a00
873;1788 2X;#d62100
874;1852 2X;#d11600
875;485 2X;#cc0c00
876;Rubine Red   2X;#c6003d
877;Rhodamine Red 2X;#d10572R
878;239 2X;#c4057c
879;363;#3d8e33
880;364;#3a7728
881;365;#d3e8a3
882;366;#c4e58e
883;367;#aadd6d
884;368;#5bbf21
885;369;#56aa1c
886;370;#568e14
887;Purple 2X;#a009617
888;2592 2X;#720082
889;Violet  2X;#59008e
890;Reflex Blue 2X;#1c007a
891;Process Blue 2X;#0077bf
892;299 2X;#007fcc
893;306 2X;#00a3d1
894;320 2X;#007f82
895;371;#566b21
896;372;#d8ed96
897;373;#ceea82
898;374;#bae860
899;375;#8cd600
900;376;#7fba00
901;377;#709302
902;378;#566314
903;327 2X;#008977
904;Green 2X;#0096770
905;354 2X;#009944
906;368 2X;#009e0f
907;375 2X;#54bc00
908;382 2X;#9ec400
909;471 2X;#a34402
910;464 2X;#704214
911;379;#e0ea68
912;380;#d6e542
913;381;#cce226
914;382;#bad80a
915;383;#a3af07
916;384;#939905
917;385;#707014
918;386;#e8ed60
919;433 2X;#0a0c11
920;Black 2;#3a3321
921;Black 3;#282d26
922;Black 4;#3d3023
923;Black 5;#422d2d
924;Black 6;#1c2630
925;Black 7;#443d38
926;Black 2 2X;#1111111
927;387;#e0ed44
928;388;#d6e80f
929;389;#cee007
930;390;#bac405
931;391;#9e9e07
932;392;#848205
933;393;#f2ef87
934;394;#eaed35
935;Black 3 2X;#1111141
936;Black 4 2X;#0f0f0f1
937;Black 5 2X;#110c0f1
938;Black 6 2X;#070c0f7
939;Black 7 2X;#33302b5
940;801;#00aacc
941;802;#60dd49
942;803;#ffed38
943;395;#e5e811
944;396;#e0e20c
945;397;#c1bf0a
946;398;#afa80a
947;399;#998e07
948;3935;#f2ed6d
949;3945;#efea07
950;3955;#ede211
951;804;#ff9338
952;805;#f95951
953;806;#ff0093
954;807;#d6009e
955;801 2X;#0089af
956;802 2X;#1cce28
957;803 2X;#ffd816
